bin_lo,bin_hi,count
442.000000,442.930000,2
442.930000,443.860000,2
443.860000,444.790000,3
444.790000,445.720000,1
445.720000,446.650000,1
446.650000,447.580000,4
447.580000,448.510000,5
448.510000,449.440000,5
449.440000,450.370000,6
450.370000,451.300000,9
451.300000,452.230000,11
452.230000,453.160000,21
453.160000,454.090000,20
454.090000,455.020000,25
455.020000,455.950000,0
455.950000,456.880000,33
456.880000,457.810000,49
457.810000,458.740000,63
458.740000,459.670000,66
459.670000,460.600000,62
460.600000,461.530000,74
461.530000,462.460000,103
462.460000,463.390000,164
463.390000,464.320000,179
464.320000,465.250000,254
465.250000,466.180000,338
466.180000,467.110000,408
467.110000,468.040000,522
468.040000,468.970000,0
468.970000,469.900000,639
469.900000,470.830000,825
470.830000,471.760000,981
471.760000,472.690000,1181
472.690000,473.620000,1420
473.620000,474.550000,1713
474.550000,475.480000,2077
475.480000,476.410000,2560
476.410000,477.340000,3135
477.340000,478.270000,3941
478.270000,479.200000,4823
479.200000,480.130000,5887
480.130000,481.060000,7124
481.060000,481.990000,0
481.990000,482.920000,8613
482.920000,483.850000,10243
483.850000,484.780000,12115
484.780000,485.710000,14766
485.710000,486.640000,17708
486.640000,487.570000,20930
487.570000,488.500000,25140
488.500000,489.430000,29220
489.430000,490.360000,35357
490.360000,491.290000,41351
491.290000,492.220000,48757
492.220000,493.150000,57788
493.150000,494.080000,65730
494.080000,495.010000,77117
495.010000,495.940000,0
495.940000,496.870000,89020
496.870000,497.800000,103908
497.800000,498.730000,121495
498.730000,499.660000,136034
499.660000,500.590000,158363
500.590000,501.520000,176219
501.520000,502.450000,197990
502.450000,503.380000,219465
503.380000,504.310000,231007
504.310000,505.240000,252029
505.240000,506.170000,259551
506.170000,507.100000,275653
507.100000,508.030000,286686
508.030000,508.960000,0
508.960000,509.890000,287162
509.890000,510.820000,298212
510.820000,511.750000,290767
511.750000,512.680000,298630
512.680000,513.610000,299383
513.610000,514.540000,299545
514.540000,515.470000,309962
515.470000,516.400000,309038
516.400000,517.330000,321841
517.330000,518.260000,325848
518.260000,519.190000,321666
519.190000,520.120000,321309
520.120000,521.050000,304154
521.050000,521.980000,0
521.980000,522.910000,292455
522.910000,523.840000,262049
523.840000,524.770000,230156
524.770000,525.700000,193673
525.700000,526.630000,148509
526.630000,527.560000,111133
527.560000,528.490000,71062
528.490000,529.420000,44156
529.420000,530.350000,22488
530.350000,531.280000,10324
531.280000,532.210000,3141
532.210000,533.140000,840
533.140000,534.070000,110
534.070000,535.000000,4
